Timestamp,Asset 1 HP - Disch Press Value,Asset 1 HP - Pressure & Ratio Value,Asset 1 HP - Suct Press Value,Asset 1T Condensate flow Value,Asset 1 LP - Pressure & Ratio Value,Asset 1T - Speed Value,Asset 1T Extraction flow Value,Asset 1T Steam Inlet flow Value,Asset 2 Pressure & Ratio Value,Asset 2T - Speed Value,Asset 2T Steam Inlet flow Value,Asset 1T LP - Disch Press Value,Asset 1T LP - Suct Press Value,Asset 2 - Disch Press Value,Asset 2 - Suct Press Value,target Value,Ambient Temperature Value
2025-01-01T00:00:00.0000000Z,9887.3478,2.784934617,3790.9476,23.8963659,2.759845116,10298.3342,203.329247,231.191191,1.188807852,9216.207,25.6548259,3908.21706,1557.62937,10407.7765,9629.5265,-62.378272,1.0799433
2025-01-01T01:00:00.0000000Z,9890.9349,2.786978471,3797.34927,23.8414187,2.761870557,10288.4727,202.437653,231.102168,1.189620335,9215.8935,25.5325224,3913.82959,1558.12437,10413.2556,9628.5398,-62.7455158,0.083753854
2025-01-01T02:00:00.0000000Z,9846.6335,2.787926565,3767.71483,23.2289046,2.76281011,10300.2394,203.31465,231.921327,1.189661991,9215.6735,25.4689292,3887.0876,1547.50156,10366.499,9584.6982,-64.519807,-0.24856147
2025-01-01T03:00:00.0000000Z,9845.8954,2.789756145,3771.3885,23.549944,2.764623207,10294.8769,202.93746,231.592856,1.189961312,9216.0948,25.4758801,3891.70408,1547.85433,10366.9698,9584.0019,-64.968189,-0.93724334
2025-01-01T04:00:00.0000000Z,9865.1542,2.776758041,3811.6463,24.4138477,2.751742203,10328.8174,202.691269,232.212134,1.187929439,9215.8935,25.188449,3930.78202,1570.54458,10373.2277,9604.5103,-62.8830664,-1.5966507
2025-01-01T05:00:00.0000000Z,9885.95245,2.782440945,3801.49924,25.0909846,2.75737391,10354.7774,202.509978,232.694726,1.188135921,9216.4809,25.29747,3920.81085,1564.21485,10395.2123,9624.6876,-63.1404213,-1.2443374
2025-01-01T06:00:00.0000000Z,9878.5214,2.78185067,3802.8408,25.5154757,2.756788952,10346.9245,202.323561,232.229261,1.188076223,9216.0948,25.3257851,3921.7046,1564.69511,10387.1867,9616.9293,-61.8860022,-0.66854745
2025-01-01T07:00:00.0000000Z,9885.6571,2.787848576,3795.90398,25.3006754,2.762732823,10357.182,202.628437,232.429362,1.187974556,9215.1411,25.395546,3914.21272,1558.5141,10398.3011,9627.9293,-61.3289314,-0.28168246
2025-01-01T08:00:00.0000000Z,9895.6924,2.786125273,3805.5435,24.5944963,2.761025045,10353.6675,202.618801,232.697311,1.188208351,9216.6745,25.4136806,3925.1267,1564.14302,10406.066,9633.6845,-61.2723925,-2.5910585
2025-01-01T09:00:00.0000000Z,9875.1444,2.785080415,3795.11737,25.4489697,2.759989601,10370.2225,202.61978,232.900393,1.187589707,9216.1421,25.3317416,3916.28732,1560.91375,10383.6436,9617.7081,-60.6265396,-2.7712977
2025-01-01T10:00:00.0000000Z,9849.2262,2.791778489,3761.54746,25.511079,2.766627331,10374.0384,202.923897,232.913285,1.188639107,9215.6559,25.401409,3881.90242,1543.14534,10361.3488,9593.2925,-61.35954,-3.2649825
2025-01-01T11:00:00.0000000Z,9853.7098,2.795132994,3761.1838,24.8432602,2.769951616,10359.987,202.90754,232.860441,1.18828912,9216.471,25.3619333,3882.99406,1542.22046,10371.6888,9601.3324,-61.7713173,-2.6933343
2025-01-01T12:00:00.0000000Z,9831.7912,2.788177876,3768.6275,24.8703961,2.763059157,10336.2138,201.653573,232.419022,1.187502065,9215.1928,25.236684,3887.72604,1547.4129,10345.544,9581.8888,-61.636729,-3.0691466
2025-01-01T13:00:00.0000000Z,9833.6425,2.786918793,3757.48373,25.0157248,2.761811416,10350.4687,202.568971,231.442255,1.187545559,9216.273,25.2921724,3874.75616,1543.65728,10349.6096,9587.2216,-61.5336546,-1.2937384
2025-01-01T14:00:00.0000000Z,9846.0043,2.788908666,3770.59507,25.3079706,2.763783363,10359.0278,203.080317,233.318965,1.185672043,9216.9682,25.3816453,3892.1883,1549.18863,10356.5946,9604.6566,-61.03735,-1.6071618
2025-01-01T15:00:00.0000000Z,9859.5552,2.787953122,3783.67616,25.189219,2.762836427,10368.2106,203.643528,233.959275,1.185641532,9216.0926,25.3048125,3908.95846,1556.93153,10368.9542,9619.2206,-60.494368,-1.5218416
2025-01-01T16:00:00.0000000Z,9854.7581,2.782889668,3788.21256,25.0090753,2.75781859,10354.9391,202.766949,233.205269,1.185412162,9215.7593,25.2586928,3908.29538,1557.78249,10365.366,9621.0477,-60.157064,-1.5363786
2025-01-01T17:00:00.0000000Z,9862.182,2.784744486,3786.35895,25.455023,2.759656697,10358.5757,202.794713,232.279564,1.184677136,9216.1707,25.2716607,3905.75647,1556.80008,10375.8149,9634.2477,-59.7557554,-3.2026446
2025-01-01T18:00:00.0000000Z,9867.4411,2.789912519,3778.95144,25.0965022,2.764778172,10358.172,202.773626,232.567962,1.184721116,9214.8969,25.3640585,3900.36933,1551.96613,10385.793,9639.1295,-60.0157492,-2.6981206
2025-01-01T19:00:00.0000000Z,9850.0644,2.790655064,3760.9176,24.7533825,2.765514027,10334.7508,201.406535,230.942844,1.181214691,9216.7878,25.2653126,3877.41112,1542.07053,10371.5524,9658.8921,-60.8440437,-2.7566228
2025-01-01T20:00:00.0000000Z,9875.4436,2.790010488,3781.24978,25.0636617,2.764875259,10365.6344,203.137616,233.70292,1.164718265,9215.50245,25.3774356,3904.46397,1554.0415,10383.7811,9807.3063,-59.535234,-2.901877
2025-01-01T21:00:00.0000000Z,9854.9011,2.784777955,3774.95613,24.8048526,2.759689865,10356.4076,202.820893,233.05238,1.164788744,9215.5514,25.3551562,3895.44562,1551.45199,10368.5175,9791.1803,-59.6234793,-3.5834842
2025-01-01T22:00:00.0000000Z,9900.3575,2.790308055,3794.91992,25.2574003,2.765170145,10380.7627,204.176775,234.809531,1.16483384,9217.3653,25.4694033,3920.64145,1559.83542,10413.1005,9831.7494,-58.8942607,-5.8539243
2025-01-01T23:00:00.0000000Z,9876.5733,2.788545989,3788.8873,25.3551771,2.763423954,10365.487,202.805647,233.096754,1.164602892,9215.7593,25.3121924,3911.46063,1557.14955,10387.498,9811.2223,-58.294093,-3.9094605
2025-01-02T00:00:00.0000000Z,9898.9066,2.788450541,3794.22923,25.3581064,2.763329365,10355.2009,202.084168,233.072609,1.164491191,9216.0937,25.3473792,3913.18477,1557.42477,10409.6498,9833.6194,-58.078823,-2.0505006
2025-01-02T01:00:00.0000000Z,9876.46,2.788407736,3781.1191,25.2273373,2.763286945,10372.3928,202.99202,233.219855,1.164604606,9217.3785,25.1779022,3902.35318,1553.55519,10389.7134,9813.342,-58.5260896,-1.188033
2025-01-02T02:00:00.0000000Z,9877.0562,2.778721873,3810.51946,25.4496561,2.753688342,10368.9927,202.083926,233.519429,1.164222848,9216.0277,25.2299113,3932.8157,1570.29543,10386.5003,9812.8261,-57.4379608,-5.791781
2025-01-02T03:00:00.0000000Z,9892.2879,2.782113983,3804.19853,25.452394,2.757049893,10383.2531,202.613939,233.500014,1.164380635,9216.7229,25.3105974,3925.29357,1565.55058,10406.9966,9831.5184,-57.2190333,-8.295737
2025-01-02T04:00:00.0000000Z,9899.6887,2.781543279,3802.75456,25.6235012,2.75648433,10388.2977,202.675836,233.29889,1.16448786,9215.4766,25.31408,3921.67754,1564.66233,10408.3232,9833.7602,-56.5780864,-8.140796
2025-01-02T05:00:00.0000000Z,9916.0369,2.791479252,3796.84118,25.6625336,2.76633079,10393.7845,202.763088,233.304247,1.164220995,9216.8824,25.4090815,3918.71832,1558.67261,10424.8243,9848.3253,-56.832589,-7.2702723
2025-01-02T06:00:00.0000000Z,9892.465,2.792695298,3789.31223,25.8792237,2.76753588,10398.6586,203.129564,233.61206,1.164782321,9218.0902,25.3799458,3910.5979,1555.53486,10407.9008,9828.8641,-56.8748015,-6.6832447
2025-01-02T07:00:00.0000000Z,9917.248,2.791362327,3798.20122,25.9867421,2.766214919,10406.0132,203.659522,235.135109,1.164714145,9216.5084,25.4948298,3923.21743,1560.38432,10431.0492,9851.149,-56.7167656,-6.123469
2025-01-02T08:00:00.0000000Z,9911.38995,2.786925409,3800.87378,25.886124,2.761817973,10392.382,203.289416,234.141083,1.164592501,9215.5987,25.5066823,3923.3645,1563.06898,10421.6497,9843.7559,-56.232847,-6.263356
2025-01-02T09:00:00.0000000Z,9910.4357,2.791097156,3799.2097,26.0741448,2.765952137,10407.8249,202.929375,234.196622,1.164339328,9215.6559,25.3895697,3923.47527,1560.60025,10419.6565,9843.6811,-56.0115402,-4.713106
2025-01-02T10:00:00.0000000Z,9885.6604,2.787057595,3794.09448,26.1487501,2.761948968,10404.5524,203.208918,234.566893,1.164014163,9215.8352,25.430933,3915.74623,1559.29136,10392.0575,9821.00625,-55.2328997,-6.3070593
2025-01-02T11:00:00.0000000Z,9895.0951,2.786859875,3798.00938,26.4244343,2.76175303,10397.937,202.623707,233.915011,1.16464918,9216.3115,25.4623578,3920.68468,1560.95423,10404.9803,9827.9577,-55.5981173,-7.146153
2025-01-02T12:00:00.0000000Z,9902.8479,2.781976372,3803.36418,25.9089083,2.756913522,10385.4861,201.986158,232.592492,1.164391045,9216.1575,25.403807,3921.47206,1563.8172,10413.9673,9836.618,-55.504999,-6.489754
2025-01-02T13:00:00.0000000Z,9888.8207,2.789265414,3791.50453,26.3371185,2.764136897,10410.1063,203.08167,234.637403,1.164446508,9215.4634,25.3186978,3914.58903,1557.86268,10397.1637,9821.0684,-55.1660428,-3.0493214
2025-01-02T14:00:00.0000000Z,9866.5919,2.788179852,3792.49068,26.5781164,2.763061114,10400.1381,201.395876,232.266089,1.164392531,9216.4853,25.198899,3914.06851,1558.4833,10377.3252,9804.2076,-55.1317723,-3.483842
